timestamp,cpu_total_pct,mem_avail_mb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,gpu_clock_graphics_mhz,gpu_clock_sm_mhz
"2026-03-16T16:40:47.8448047-03:00","56,9860543688581","23243","0","3","789","12282","4.64","39","210","210"
"2026-03-16T16:40:50.4033164-03:00","50,8747032319914","23250","0","3","789","12282","4.70","39","210","210"
"2026-03-16T16:40:52.9832544-03:00","100","23255","0","3","789","12282","4.68","39","210","210"
"2026-03-16T16:40:55.7303885-03:00","100","23260","0","3","789","12282","4.65","39","210","210"
"2026-03-16T16:40:58.3467612-03:00","100","23256","0","3","789","12282","4.64","39","210","210"
"2026-03-16T16:41:01.0358708-03:00","26,5621249849994","23192","0","2","792","12282","4.83","39","210","210"
"2026-03-16T16:41:03.6141444-03:00","7,39755169419016","23289","0","3","790","12282","4.88","39","210","210"
"2026-03-16T16:41:06.1702163-03:00","7,60906732462752","23291","0","3","790","12282","4.70","39","210","210"
"2026-03-16T16:41:08.7252589-03:00","7,86511058593199","23290","0","3","790","12282","4.65","39","210","210"
"2026-03-16T16:41:11.2828829-03:00","7,16455262851061","23289","0","3","790","12282","4.64","39","210","210"
"2026-03-16T16:41:13.8369591-03:00","6,52185286932988","23291","0","3","790","12282","4.58","39","210","210"
"2026-03-16T16:41:16.4091928-03:00","7,00116823714907","23290","0","3","790","12282","4.63","39","210","210"
"2026-03-16T16:41:18.9637941-03:00","8,35491460838542","23297","0","3","790","12282","4.65","39","210","210"
"2026-03-16T16:41:21.5168587-03:00","8,40829922761491","23296","0","3","790","12282","4.67","39","210","210"
"2026-03-16T16:41:24.0754019-03:00","8,44529455953183","23296","0","3","790","12282","4.71","39","210","210"
"2026-03-16T16:41:26.6340764-03:00","5,99595667818553","23295","0","3","790","12282","4.67","39","210","210"
"2026-03-16T16:41:29.1880615-03:00","6,9028068282397","23295","0","3","790","12282","4.66","39","210","210"
"2026-03-16T16:41:31.7405803-03:00","6,81069304010014","23297","0","3","790","12282","4.70","39","210","210"
"2026-03-16T16:41:34.2953015-03:00","7,42537283124712","23295","0","5","790","12282","4.69","39","210","210"
"2026-03-16T16:41:36.8503381-03:00","6,7074268143826","23295","0","3","790","12282","4.70","39","210","210"
"2026-03-16T16:41:39.4068538-03:00","7,91787504188973","23294","0","3","790","12282","4.69","39","210","210"
"2026-03-16T16:41:41.9666992-03:00","7,70048399445461","23293","0","4","790","12282","4.77","39","210","210"
"2026-03-16T16:41:44.5240306-03:00","7,14813749563224","23289","11","6","791","12282","4.75","39","210","210"
"2026-03-16T16:41:47.0793403-03:00","12,6101035637508","23281","0","3","791","12282","4.78","39","210","210"
"2026-03-16T16:41:49.6604842-03:00","12,575563767456","23295","0","3","791","12282","4.70","39","210","210"
"2026-03-16T16:41:52.2215999-03:00","13,8109467110197","23296","0","3","791","12282","4.66","39","210","210"
"2026-03-16T16:41:54.7807881-03:00","13,8079706300322","23295","0","3","791","12282","4.73","39","210","210"
"2026-03-16T16:41:57.3348512-03:00","12,5840230815607","23296","0","3","791","12282","4.74","39","210","210"
"2026-03-16T16:41:59.8944901-03:00","13,3710797814733","23294","0","3","791","12282","4.95","39","210","210"
"2026-03-16T16:42:02.4520221-03:00","13,9386067973078","23296","0","3","791","12282","4.75","39","210","210"
"2026-03-16T16:42:05.0122177-03:00","15,0986678160941","23294","0","3","791","12282","4.75","39","210","210"
"2026-03-16T16:42:07.5707334-03:00","12,2310861155639","23293","0","3","791","12282","4.74","39","210","210"
"2026-03-16T16:42:10.1270164-03:00","13,911579510188","23292","0","3","791","12282","4.79","39","210","210"
"2026-03-16T16:42:12.6804486-03:00","12,5935573809527","23292","0","3","791","12282","4.74","39","210","210"
"2026-03-16T16:42:15.2364678-03:00","14,9868786003629","23291","0","3","791","12282","4.81","39","210","210"
"2026-03-16T16:42:17.8110666-03:00","14,0774512975512","23289","0","3","791","12282","4.71","39","210","210"
"2026-03-16T16:42:20.3668549-03:00","12,3937901733855","23289","0","3","791","12282","4.71","39","210","210"
"2026-03-16T16:42:22.9237708-03:00","13,3301674586295","23288","0","3","791","12282","4.72","39","210","210"
"2026-03-16T16:42:25.4830711-03:00","14,3825467666249","23280","0","2","791","12282","4.94","39","210","210"
"2026-03-16T16:42:28.0706328-03:00","25,8419928236781","23271","0","11","789","12282","4.88","39","210","210"
"2026-03-16T16:42:30.6195199-03:00","26,4054737974282","23269","0","5","789","12282","4.72","39","210","210"
"2026-03-16T16:42:33.1842236-03:00","27,0464026195057","23269","0","3","789","12282","4.75","39","210","210"
"2026-03-16T16:42:35.7529953-03:00","26,7416050654838","23269","0","3","789","12282","4.69","39","210","210"
"2026-03-16T16:42:38.3214986-03:00","25,7672810778217","23268","0","3","789","12282","4.69","39","210","210"
